"","X.1","X","atnd_experience","ambiente","ambiente_aberta","Food_Quality","novo_diferente","denovo_manter","mudanca_notavel","flag_cliente_novo","Date_Time","mes","dia_semana","hora"
"1",1,1,"tem atencao","instagramavel","",3,"Seria ótimo ter uma área para crianças brincarem.","","A música ambiente mudou e agora está mais agradável.",0,2023-12-07 11:00:00,12,"quinta-feira",11
"2",2,2,"organização","acessibilidade","A limpeza e organização do local foram impecáveis.",3,"Gostaria que o cardápio tivesse mais fotos dos pratos.","lugar arrumado","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-19 11:00:00,12,"terça-feira",11
"3",3,3,"organização","instagramavel","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"Espero que o tempo de espera para ser atendido seja menor.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","A música ambiente mudou e agora está mais agradável.",0,2023-12-01 07:00:00,12,"sexta-feira",7
"4",4,4,"habilidosos","instagramavel","A limpeza e organização do local foram impecáveis.",4,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-11-14 01:00:00,11,"terça-feira",1
"5",5,5,"gente boa","conforto","O estilo moderno e acolhedor do interior.",4,"Espero que o tempo de espera para ser atendido seja menor.","","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-11-09 15:00:00,11,"quinta-feira",15
"6",6,6,"comente","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"","banheiros cheirosos","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-16 01:00:00,12,"sábado",1
"7",7,7,"habilidosos","acessibilidade","A iluminação suave e as cores harmoniosas do espaço.",4,"Seria melhor se o restaurante aceitasse reservas online.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-04 02:00:00,12,"segunda-feira",2
"8",8,8,"organização","temperatura","A iluminação suave e as cores harmoniosas do espaço.",2,"Gostaria de ver opções de pratos veganos no menu.","organização do ambiente","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-11-05 09:00:00,11,"domingo",9
"9",9,9,"tem atencao","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",1,"","o milkshake, eu viria só por ele","",0,2023-11-03 05:00:00,11,"sexta-feira",5
"10",10,10,"gente boa","instagramavel","",2,"","lugar arrumado","",1,2023-12-07 17:00:00,12,"quinta-feira",17
"11",11,11,"tem atencao","conforto","A limpeza e organização do local foram impecáveis.",4,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-11-19 16:00:00,11,"domingo",16
"12",12,12,"habilidosos","conforto","O sorriso e a simpatia dos funcionários.",5,"Uma noite temática por semana seria interessante.","lugar arrumado","",0,2023-11-17 22:00:00,11,"sexta-feira",22
"13",13,13,"gente boa","estacionamento","",2,"Uma noite temática por semana seria interessante.","organização do ambiente","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-20 20:00:00,12,"quarta-feira",20
"14",14,14,"comente","temperatura","",3,"Mais variedade de cervejas artesanais.","facil acesso","",0,2023-12-13 21:00:00,12,"quarta-feira",21
"15",15,15,"habilidosos","instagramavel","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"Gostaria de ver opções de pratos veganos no menu.","facil acesso","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-02 17:00:00,12,"sábado",17
"16",16,16,"tem atencao","instagramavel","A limpeza e organização do local foram impecáveis.",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","as sobremesas são maravilhosas, nunca mudem","",0,2023-12-08 13:00:00,12,"sexta-feira",13
"17",17,17,"gente boa","temperatura","",1,"Uma noite temática por semana seria interessante.","","O tempo de espera pela comida diminuiu significativamente.",0,2023-12-23 03:00:00,12,"sábado",3
"18",18,18,"organização","temperatura","O estilo moderno e acolhedor do interior.",1,"Gostaria de ver opções de pratos veganos no menu.","lugar arrumado","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-16 10:00:00,12,"sábado",10
"19",19,19,"organização","acessibilidade","O sorriso e a simpatia dos funcionários.",3,"Uma noite temática por semana seria interessante.","lugar arrumado","",0,2023-11-17 01:00:00,11,"sexta-feira",1
"20",20,20,"habilidosos","temperatura","",2,"Uma noite temática por semana seria interessante.","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-08 15:00:00,12,"sexta-feira",15
"21",21,21,"gente boa","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"","lugar arrumado","",0,2023-11-26 04:00:00,11,"domingo",4
"22",22,22,"organização","temperatura","O sorriso e a simpatia dos funcionários.",2,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","Está mais organizado, especialmente a área de espera por mesas.",1,2023-12-28 08:00:00,12,"quinta-feira",8
"23",23,23,"comente","conforto","O sorriso e a simpatia dos funcionários.",3,"Seria melhor se o restaurante aceitasse reservas online.","o milkshake, eu viria só por ele","",1,2023-12-14 13:00:00,12,"quinta-feira",13
"24",24,24,"comente","acessibilidade","",3,"Seria melhor se o restaurante aceitasse reservas online.","lugar arrumado","A música ambiente mudou e agora está mais agradável.",0,2023-12-02 10:00:00,12,"sábado",10
"25",25,25,"tem atencao","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",5,"","","",0,2023-11-16,11,"quinta-feira",0
"26",26,26,"habilidosos","estacionamento","O sorriso e a simpatia dos funcionários.",1,"Gostaria de ver opções de pratos veganos no menu.","banheiros cheirosos","",1,2023-11-16 06:00:00,11,"quinta-feira",6
"27",27,27,"gente boa","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",4,"Seria melhor se o restaurante aceitasse reservas online.","o milkshake, eu viria só por ele","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-07 07:00:00,11,"terça-feira",7
"28",28,28,"organização","acessibilidade","",4,"","lugar arrumado","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-06 19:00:00,11,"segunda-feira",19
"29",29,29,"habilidosos","estacionamento","A iluminação suave e as cores harmoniosas do espaço.",4,"","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",1,2023-11-23 07:00:00,11,"quinta-feira",7
"30",30,30,"organização","estacionamento","",4,"","organização do ambiente","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-21 06:00:00,11,"terça-feira",6
"31",31,31,"organização","instagramavel","",2,"Seria ótimo ter uma área para crianças brincarem.","banheiros cheirosos","",0,2023-12-28 08:00:00,12,"quinta-feira",8
"32",32,32,"gente boa","acessibilidade","",4,"Mais variedade de cervejas artesanais.","lugar arrumado","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-21 17:00:00,12,"quinta-feira",17
"33",33,33,"habilidosos","estacionamento","",2,"Mais variedade de cervejas artesanais.","facil acesso","",0,2023-11-24 19:00:00,11,"sexta-feira",19
"34",34,34,"comente","acessibilidade","",3,"Adoraria ver mais opções de sobremesas sem glúten.","","A música ambiente mudou e agora está mais agradável.",0,2023-11-06 21:00:00,11,"segunda-feira",21
"35",35,35,"tem atencao","estacionamento","A iluminação suave e as cores harmoniosas do espaço.",2,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","As porções estão maiores, o que é ótimo para o preço que pagamos.",1,2023-12-17 23:00:00,12,"domingo",23
"36",36,36,"gente boa","estacionamento","",2,"Mais variedade de cervejas artesanais.","facil acesso","",0,2023-12-17 21:00:00,12,"domingo",21
"37",37,37,"organização","acessibilidade","O estilo moderno e acolhedor do interior.",3,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-04 09:00:00,12,"segunda-feira",9
"38",38,38,"habilidosos","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"Seria melhor se o restaurante aceitasse reservas online.","","",0,2023-12-25 05:00:00,12,"segunda-feira",5
"39",39,39,"tem atencao","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","lugar arrumado","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-25 15:00:00,12,"segunda-feira",15
"40",40,40,"tem atencao","estacionamento","",2,"","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",1,2023-11-18 15:00:00,11,"sábado",15
"41",41,41,"organização","acessibilidade","",3,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","",0,2023-11-18 23:00:00,11,"sábado",23
"42",42,42,"gente boa","acessibilidade","A iluminação suave e as cores harmoniosas do espaço.",2,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-14 06:00:00,12,"quinta-feira",6
"43",43,43,"gente boa","conforto","O sorriso e a simpatia dos funcionários.",5,"Seria melhor se o restaurante aceitasse reservas online.","","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-07 04:00:00,12,"quinta-feira",4
"44",44,44,"habilidosos","conforto","O estilo moderno e acolhedor do interior.",4,"Espero que o tempo de espera para ser atendido seja menor.","banheiros cheirosos","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-02 22:00:00,12,"sábado",22
"45",45,45,"gente boa","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Poderiam melhorar a acústica do local para reduzir o ruído.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-04 17:00:00,12,"segunda-feira",17
"46",46,46,"comente","instagramavel","A limpeza e organização do local foram impecáveis.",2,"Poderiam melhorar a acústica do local para reduzir o ruído.","","",0,2023-12-20 14:00:00,12,"quarta-feira",14
"47",47,47,"organização","temperatura","A limpeza e organização do local foram impecáveis.",3,"","as sobremesas são maravilhosas, nunca mudem","",0,2023-12-07 23:00:00,12,"quinta-feira",23
"48",48,48,"gente boa","estacionamento","",4,"","o milkshake, eu viria só por ele","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-09 02:00:00,11,"quinta-feira",2
"49",49,49,"comente","estacionamento","",2,"Mais variedade de cervejas artesanais.","as sobremesas são maravilhosas, nunca mudem","",0,2023-11-30 20:00:00,11,"quinta-feira",20
"50",50,50,"comente","estacionamento","A limpeza e organização do local foram impecáveis.",4,"Mais variedade de cervejas artesanais.","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-15 12:00:00,12,"sexta-feira",12
"51",51,51,"gente boa","estacionamento","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Mais variedade de cervejas artesanais.","organização do ambiente","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-25 14:00:00,11,"sábado",14
