"","atnd_experience","ambiente","ambiente_aberta","Food_Quality","novo_diferente","denovo_manter","mudanca_notavel","flag_cliente_novo","Date_Time"
"1","tem atencao","instagramavel","",3,"Seria ótimo ter uma área para crianças brincarem.","","A música ambiente mudou e agora está mais agradável.",0,2023-12-07 11:00:00
"2","organização","acessibilidade","A limpeza e organização do local foram impecáveis.",3,"Gostaria que o cardápio tivesse mais fotos dos pratos.","lugar arrumado","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-19 11:00:00
"3","organização","instagramavel","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"Espero que o tempo de espera para ser atendido seja menor.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","A música ambiente mudou e agora está mais agradável.",0,2023-12-01 07:00:00
"4","habilidosos","instagramavel","A limpeza e organização do local foram impecáveis.",4,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-11-14 01:00:00
"5","gente boa","conforto","O estilo moderno e acolhedor do interior.",4,"Espero que o tempo de espera para ser atendido seja menor.","","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-11-09 15:00:00
"6","comente","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"","banheiros cheirosos","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-16 01:00:00
"7","habilidosos","acessibilidade","A iluminação suave e as cores harmoniosas do espaço.",4,"Seria melhor se o restaurante aceitasse reservas online.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-04 02:00:00
"8","organização","temperatura","A iluminação suave e as cores harmoniosas do espaço.",2,"Gostaria de ver opções de pratos veganos no menu.","organização do ambiente","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-11-05 09:00:00
"9","tem atencao","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",1,"","o milkshake, eu viria só por ele","",0,2023-11-03 05:00:00
"10","gente boa","instagramavel","",2,"","lugar arrumado","",1,2023-12-07 17:00:00
"11","tem atencao","conforto","A limpeza e organização do local foram impecáveis.",4,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-11-19 16:00:00
"12","habilidosos","conforto","O sorriso e a simpatia dos funcionários.",5,"Uma noite temática por semana seria interessante.","lugar arrumado","",0,2023-11-17 22:00:00
"13","gente boa","estacionamento","",2,"Uma noite temática por semana seria interessante.","organização do ambiente","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-20 20:00:00
"14","comente","temperatura","",3,"Mais variedade de cervejas artesanais.","facil acesso","",0,2023-12-13 21:00:00
"15","habilidosos","instagramavel","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"Gostaria de ver opções de pratos veganos no menu.","facil acesso","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-02 17:00:00
"16","tem atencao","instagramavel","A limpeza e organização do local foram impecáveis.",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","as sobremesas são maravilhosas, nunca mudem","",0,2023-12-08 13:00:00
"17","gente boa","temperatura","",1,"Uma noite temática por semana seria interessante.","","O tempo de espera pela comida diminuiu significativamente.",0,2023-12-23 03:00:00
"18","organização","temperatura","O estilo moderno e acolhedor do interior.",1,"Gostaria de ver opções de pratos veganos no menu.","lugar arrumado","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-16 10:00:00
"19","organização","acessibilidade","O sorriso e a simpatia dos funcionários.",3,"Uma noite temática por semana seria interessante.","lugar arrumado","",0,2023-11-17 01:00:00
"20","habilidosos","temperatura","",2,"Uma noite temática por semana seria interessante.","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-08 15:00:00
"21","gente boa","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"","lugar arrumado","",0,2023-11-26 04:00:00
"22","organização","temperatura","O sorriso e a simpatia dos funcionários.",2,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","Está mais organizado, especialmente a área de espera por mesas.",1,2023-12-28 08:00:00
"23","comente","conforto","O sorriso e a simpatia dos funcionários.",3,"Seria melhor se o restaurante aceitasse reservas online.","o milkshake, eu viria só por ele","",1,2023-12-14 13:00:00
"24","comente","acessibilidade","",3,"Seria melhor se o restaurante aceitasse reservas online.","lugar arrumado","A música ambiente mudou e agora está mais agradável.",0,2023-12-02 10:00:00
"25","tem atencao","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",5,"","","",0,2023-11-16
"26","habilidosos","estacionamento","O sorriso e a simpatia dos funcionários.",1,"Gostaria de ver opções de pratos veganos no menu.","banheiros cheirosos","",1,2023-11-16 06:00:00
"27","gente boa","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",4,"Seria melhor se o restaurante aceitasse reservas online.","o milkshake, eu viria só por ele","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-07 07:00:00
"28","organização","acessibilidade","",4,"","lugar arrumado","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-06 19:00:00
"29","habilidosos","estacionamento","A iluminação suave e as cores harmoniosas do espaço.",4,"","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",1,2023-11-23 07:00:00
"30","organização","estacionamento","",4,"","organização do ambiente","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-21 06:00:00
"31","organização","instagramavel","",2,"Seria ótimo ter uma área para crianças brincarem.","banheiros cheirosos","",0,2023-12-28 08:00:00
"32","gente boa","acessibilidade","",4,"Mais variedade de cervejas artesanais.","lugar arrumado","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-21 17:00:00
"33","habilidosos","estacionamento","",2,"Mais variedade de cervejas artesanais.","facil acesso","",0,2023-11-24 19:00:00
"34","comente","acessibilidade","",3,"Adoraria ver mais opções de sobremesas sem glúten.","","A música ambiente mudou e agora está mais agradável.",0,2023-11-06 21:00:00
"35","tem atencao","estacionamento","A iluminação suave e as cores harmoniosas do espaço.",2,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","As porções estão maiores, o que é ótimo para o preço que pagamos.",1,2023-12-17 23:00:00
"36","gente boa","estacionamento","",2,"Mais variedade de cervejas artesanais.","facil acesso","",0,2023-12-17 21:00:00
"37","organização","acessibilidade","O estilo moderno e acolhedor do interior.",3,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-04 09:00:00
"38","habilidosos","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"Seria melhor se o restaurante aceitasse reservas online.","","",0,2023-12-25 05:00:00
"39","tem atencao","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","lugar arrumado","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-25 15:00:00
"40","tem atencao","estacionamento","",2,"","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",1,2023-11-18 15:00:00
"41","organização","acessibilidade","",3,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","",0,2023-11-18 23:00:00
"42","gente boa","acessibilidade","A iluminação suave e as cores harmoniosas do espaço.",2,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-14 06:00:00
"43","gente boa","conforto","O sorriso e a simpatia dos funcionários.",5,"Seria melhor se o restaurante aceitasse reservas online.","","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-07 04:00:00
"44","habilidosos","conforto","O estilo moderno e acolhedor do interior.",4,"Espero que o tempo de espera para ser atendido seja menor.","banheiros cheirosos","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-02 22:00:00
"45","gente boa","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Poderiam melhorar a acústica do local para reduzir o ruído.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-04 17:00:00
"46","comente","instagramavel","A limpeza e organização do local foram impecáveis.",2,"Poderiam melhorar a acústica do local para reduzir o ruído.","","",0,2023-12-20 14:00:00
"47","organização","temperatura","A limpeza e organização do local foram impecáveis.",3,"","as sobremesas são maravilhosas, nunca mudem","",0,2023-12-07 23:00:00
"48","gente boa","estacionamento","",4,"","o milkshake, eu viria só por ele","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-09 02:00:00
"49","comente","estacionamento","",2,"Mais variedade de cervejas artesanais.","as sobremesas são maravilhosas, nunca mudem","",0,2023-11-30 20:00:00
"50","comente","estacionamento","A limpeza e organização do local foram impecáveis.",4,"Mais variedade de cervejas artesanais.","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-15 12:00:00
"51","gente boa","estacionamento","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Mais variedade de cervejas artesanais.","organização do ambiente","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-25 14:00:00
"52","tem atencao","acessibilidade","O estilo moderno e acolhedor do interior.",3,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-23 02:00:00
"53","comente","instagramavel","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-09 09:00:00
"54","comente","conforto","",4,"","","A música ambiente mudou e agora está mais agradável.",0,2023-12-04 16:00:00
"55","organização","estacionamento","",3,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","",0,2023-11-11 10:00:00
"56","habilidosos","instagramavel","",5,"","organização do ambiente","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-25 13:00:00
"57","tem atencao","acessibilidade","O sorriso e a simpatia dos funcionários.",4,"Espero que o tempo de espera para ser atendido seja menor.","banheiros cheirosos","A música ambiente mudou e agora está mais agradável.",1,2023-12-07 08:00:00
"58","habilidosos","instagramavel","O estilo moderno e acolhedor do interior.",5,"Seria ótimo ter uma área para crianças brincarem.","as sobremesas são maravilhosas, nunca mudem","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-27 09:00:00
"59","tem atencao","temperatura","",4,"Uma noite temática por semana seria interessante.","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",1,2023-11-12 05:00:00
"60","comente","acessibilidade","A limpeza e organização do local foram impecáveis.",3,"Uma noite temática por semana seria interessante.","","Agora há mais opções de vinhos e coquetéis no cardápio.",1,2023-12-15 03:00:00
"61","comente","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"","facil acesso","",0,2023-12-25 19:00:00
"62","organização","conforto","O sorriso e a simpatia dos funcionários.",3,"","o milkshake, eu viria só por ele","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-27 16:00:00
"63","gente boa","conforto","",2,"Uma noite temática por semana seria interessante.","","A música ambiente mudou e agora está mais agradável.",1,2023-12-21
"64","comente","instagramavel","",3,"","facil acesso","",1,2023-12-29 21:00:00
"65","organização","estacionamento","",1,"Espero que o tempo de espera para ser atendido seja menor.","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-20 06:00:00
"66","habilidosos","acessibilidade","O sorriso e a simpatia dos funcionários.",1,"Seria melhor se o restaurante aceitasse reservas online.","","",0,2023-12-24 09:00:00
"67","organização","temperatura","O sorriso e a simpatia dos funcionários.",5,"Espero que o tempo de espera para ser atendido seja menor.","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-03 21:00:00
"68","habilidosos","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",5,"Seria ótimo ter uma área para crianças brincarem.","as sobremesas são maravilhosas, nunca mudem","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-27 20:00:00
"69","gente boa","temperatura","A limpeza e organização do local foram impecáveis.",4,"Adoraria ver mais opções de sobremesas sem glúten.","","",0,2023-12-02 16:00:00
"70","gente boa","conforto","",3,"Seria ótimo ter uma área para crianças brincarem.","facil acesso","",0,2023-12-30 01:00:00
"71","comente","conforto","",4,"Poderiam melhorar a acústica do local para reduzir o ruído.","facil acesso","",0,2023-11-16 02:00:00
